x1,x2,Z_value
-0.8875,-0.4375,-1.0
-0.8875,-0.375,-1.0
-0.8875,-0.3125,-1.0
-0.8875,-0.25,-1.0
-0.8875,-0.1875,-1.0
-0.8875,-0.125,-1.0
-0.8875,-0.0625,-1.0
-0.8875,0.0,-1.0
-0.8875,0.0625,-1.0
-0.8875,0.125,-1.0
-0.8875,0.1875,-1.0
-0.8875,0.25,-1.0
-0.8875,0.3125,-1.0
-0.8875,0.375,-1.0
-0.8875,0.4375,-1.0
-0.8875,0.5,-1.0
-0.8875,0.5625,-1.0
-0.8875,0.625,-1.0
-0.8875,0.6875,-1.0
-0.8875,0.75,-1.0
-0.8875,0.8125,-1.0
-0.8875,0.875,-1.0
-0.8875,0.9375,-1.0
-0.8875,1.0,-1.0
-0.8875,1.0624999999999998,-1.0
-0.8875,1.1250000000000002,-1.0
-0.8875,1.1875,-1.0
-0.8875,1.25,-1.0
-0.8875,1.3125,-1.0
-0.8875,1.3749999999999998,-1.0
-0.8875,1.4375000000000002,-1.0
-0.8875,1.5,-1.0
-0.8875,1.5625,-1.0
-0.8875,1.625,-1.0
-0.8875,1.6874999999999998,-1.0
-0.8875,1.7500000000000002,-1.0
-0.8875,1.8125,-1.0
-0.8875,1.875,-1.0
-0.8875,1.9375,-1.0
-0.8875,1.9999999999999998,-1.0
-0.8875,2.0625,-1.0
-0.8875,2.125,-1.0
-0.8875,2.1875,-1.0
-0.8875,2.25,-1.0
-0.8875,2.3125,-1.0
-0.8875,2.375,-1.0
-0.8875,2.4375,-1.0
-0.8875,2.5,-1.0
-0.8875,2.5625,-1.0
-0.8875,2.625,-1.0
-0.8875,2.6875,-1.0
-0.8875,2.75,-1.0
-0.8875,2.8125,-1.0
-0.8875,2.875,-1.0
-0.8875,2.9375,-1.0
-0.8875,3.0,-1.0
-0.8875,3.0625,-1.0
-0.8875,3.125,-1.0
-0.8875,3.1875,-1.0
-0.8875,3.25,-1.0
-0.8875,3.3125,-1.0
-0.8875,3.375,-1.0
-0.8875,3.4375,-1.0
-0.8875,3.5,-1.0
-0.8875,3.5625,-1.0
-0.8875,3.625,-1.0
-0.8875,3.6875,-1.0
-0.8875,3.75,-1.0
-0.8875,3.8125,-1.0
-0.8875,3.875,-1.0
-0.8875,3.9375,-1.0
-0.8875,4.0,-1.0
-0.8875,4.0625,-1.0
-0.8875,4.125,-1.0
-0.8875,4.1875,-1.0
-0.8875,4.25,-1.0
-0.8875,4.3125,-1.0
-0.8875,4.375,-1.0
-0.8875,4.4375,-1.0
-0.8875,4.5,-1.0
-0.8875,4.5625,-1.0
-0.8875,4.625,-1.0
-0.8875,4.6875,-1.0
-0.8875,4.75,-1.0
-0.8875,4.8125,-1.0
-0.8875,4.875,-1.0
-0.8875,4.9375,-1.0
-0.8875,5.0,-1.0
-0.85,-5.0,-1.0
-0.85,-4.9375,-1.0
-0.85,-4.875,-1.0
-0.85,-4.8125,-1.0
-0.85,-4.75,-1.0
-0.85,-4.6875,-1.0
-0.85,-4.625,-1.0
-0.85,-4.5625,-1.0
-0.85,-4.5,-1.0
-0.85,-4.4375,-1.0
-0.85,-4.375,-1.0
-0.85,-4.3125,-1.0
