x1,x2,is_safe
-1.0,-5.0,0
-1.0,-4.9375,0
-1.0,-4.875,0
-1.0,-4.8125,0
-1.0,-4.75,0
-1.0,-4.6875,0
-1.0,-4.625,0
-1.0,-4.5625,0
-1.0,-4.5,0
-1.0,-4.4375,0
-1.0,-4.375,0
-1.0,-4.3125,0
-1.0,-4.25,0
-1.0,-4.1875,0
-1.0,-4.125,0
-1.0,-4.0625,0
-1.0,-4.0,0
-1.0,-3.9375,0
-1.0,-3.875,0
-1.0,-3.8125,0
-1.0,-3.75,0
-1.0,-3.6875,0
-1.0,-3.625,0
-1.0,-3.5625,0
-1.0,-3.5,0
-1.0,-3.4375,0
-1.0,-3.375,0
-1.0,-3.3125,0
-1.0,-3.25,0
-1.0,-3.1875,0
-1.0,-3.125,0
-1.0,-3.0625,0
-1.0,-3.0,0
-1.0,-2.9375,0
-1.0,-2.875,0
-1.0,-2.8125,0
-1.0,-2.75,0
-1.0,-2.6875,0
-1.0,-2.625,0
-1.0,-2.5625,0
-1.0,-2.5,0
-1.0,-2.4375,0
-1.0,-2.375,0
-1.0,-2.3125,0
-1.0,-2.25,0
-1.0,-2.1875,0
-1.0,-2.125,0
-1.0,-2.0625,0
-1.0,-2.0,0
-1.0,-1.9375,0
-1.0,-1.875,0
-1.0,-1.8125,0
-1.0,-1.75,0
-1.0,-1.6875,0
-1.0,-1.625,0
-1.0,-1.5625,0
-1.0,-1.5,0
-1.0,-1.4375,0
-1.0,-1.375,0
-1.0,-1.3125,0
-1.0,-1.25,0
-1.0,-1.1875,0
-1.0,-1.125,0
-1.0,-1.0625,0
-1.0,-1.0,0
-1.0,-0.9375,0
-1.0,-0.875,0
-1.0,-0.8125,0
-1.0,-0.75,0
-1.0,-0.6875,0
-1.0,-0.625,0
-1.0,-0.5625,0
-1.0,-0.5,0
-1.0,-0.4375,0
-1.0,-0.375,0
-1.0,-0.3125,0
-1.0,-0.25,0
-1.0,-0.1875,0
-1.0,-0.125,0
-1.0,-0.0625,0
-1.0,0.0,0
-1.0,0.0625,0
-1.0,0.125,0
-1.0,0.1875,0
-1.0,0.25,0
-1.0,0.3125,0
-1.0,0.375,0
-1.0,0.4375,0
-1.0,0.5,0
-1.0,0.5625,0
-1.0,0.625,0
-1.0,0.6875,0
-1.0,0.75,0
-1.0,0.8125,0
-1.0,0.875,0
-1.0,0.9375,0
-1.0,1.0,0
-1.0,1.0624999999999998,0
-1.0,1.1250000000000002,0
-1.0,1.1875,0
-1.0,1.25,0
-1.0,1.3125,0
-1.0,1.3749999999999998,0
-1.0,1.4375000000000002,0
-1.0,1.5,0
-1.0,1.5625,0
-1.0,1.625,0
-1.0,1.6874999999999998,0
-1.0,1.7500000000000002,0
-1.0,1.8125,0
-1.0,1.875,0
-1.0,1.9375,0
-1.0,1.9999999999999998,0
-1.0,2.0625,0
-1.0,2.125,0
-1.0,2.1875,0
-1.0,2.25,0
-1.0,2.3125,0
-1.0,2.375,0
-1.0,2.4375,0
-1.0,2.5,0
-1.0,2.5625,0
-1.0,2.625,0
-1.0,2.6875,0
-1.0,2.75,0
-1.0,2.8125,0
-1.0,2.875,0
-1.0,2.9375,0
-1.0,3.0,0
-1.0,3.0625,0
-1.0,3.125,0
-1.0,3.1875,0
-1.0,3.25,0
-1.0,3.3125,0
-1.0,3.375,0
-1.0,3.4375,0
-1.0,3.5,0
-1.0,3.5625,0
-1.0,3.625,0
-1.0,3.6875,0
-1.0,3.75,0
-1.0,3.8125,0
-1.0,3.875,0
-1.0,3.9375,0
-1.0,4.0,0
-1.0,4.0625,0
-1.0,4.125,0
-1.0,4.1875,0
-1.0,4.25,0
-1.0,4.3125,0
-1.0,4.375,0
-1.0,4.4375,0
-1.0,4.5,0
-1.0,4.5625,0
-1.0,4.625,0
-1.0,4.6875,0
-1.0,4.75,0
-1.0,4.8125,0
-1.0,4.875,0
-1.0,4.9375,0
-1.0,5.0,0
-0.9625,-5.0,0
-0.9625,-4.9375,0
-0.9625,-4.875,0
-0.9625,-4.8125,0
-0.9625,-4.75,0
-0.9625,-4.6875,0
-0.9625,-4.625,0
-0.9625,-4.5625,0
-0.9625,-4.5,0
-0.9625,-4.4375,0
-0.9625,-4.375,0
-0.9625,-4.3125,0
-0.9625,-4.25,0
-0.9625,-4.1875,0
-0.9625,-4.125,0
-0.9625,-4.0625,0
-0.9625,-4.0,0
-0.9625,-3.9375,0
-0.9625,-3.875,0
-0.9625,-3.8125,0
-0.9625,-3.75,0
-0.9625,-3.6875,0
-0.9625,-3.625,0
-0.9625,-3.5625,0
-0.9625,-3.5,0
-0.9625,-3.4375,0
-0.9625,-3.375,0
-0.9625,-3.3125,0
-0.9625,-3.25,0
-0.9625,-3.1875,0
-0.9625,-3.125,0
-0.9625,-3.0625,0
-0.9625,-3.0,0
-0.9625,-2.9375,0
-0.9625,-2.875,0
-0.9625,-2.8125,0
-0.9625,-2.75,0
-0.9625,-2.6875,0
-0.9625,-2.625,0
-0.9625,-2.5625,0
-0.9625,-2.5,0
-0.9625,-2.4375,0
-0.9625,-2.375,0
-0.9625,-2.3125,0
-0.9625,-2.25,0
-0.9625,-2.1875,0
-0.9625,-2.125,0
-0.9625,-2.0625,0
-0.9625,-2.0,0
-0.9625,-1.9375,0
-0.9625,-1.875,0
-0.9625,-1.8125,0
-0.9625,-1.75,0
-0.9625,-1.6875,0
-0.9625,-1.625,0
-0.9625,-1.5625,0
-0.9625,-1.5,0
-0.9625,-1.4375,0
-0.9625,-1.375,0
-0.9625,-1.3125,0
-0.9625,-1.25,0
-0.9625,-1.1875,0
-0.9625,-1.125,0
-0.9625,-1.0625,0
-0.9625,-1.0,0
-0.9625,-0.9375,0
-0.9625,-0.875,0
-0.9625,-0.8125,0
-0.9625,-0.75,0
-0.9625,-0.6875,0
-0.9625,-0.625,0
-0.9625,-0.5625,0
-0.9625,-0.5,0
-0.9625,-0.4375,0
-0.9625,-0.375,0
-0.9625,-0.3125,0
-0.9625,-0.25,0
-0.9625,-0.1875,0
-0.9625,-0.125,0
-0.9625,-0.0625,0
-0.9625,0.0,0
-0.9625,0.0625,0
-0.9625,0.125,0
-0.9625,0.1875,0
-0.9625,0.25,0
-0.9625,0.3125,0
-0.9625,0.375,0
-0.9625,0.4375,0
-0.9625,0.5,0
-0.9625,0.5625,0
-0.9625,0.625,0
-0.9625,0.6875,0
-0.9625,0.75,0
-0.9625,0.8125,0
-0.9625,0.875,0
-0.9625,0.9375,0
-0.9625,1.0,0
-0.9625,1.0624999999999998,0
-0.9625,1.1250000000000002,0
-0.9625,1.1875,0
-0.9625,1.25,0
-0.9625,1.3125,0
-0.9625,1.3749999999999998,0
-0.9625,1.4375000000000002,0
-0.9625,1.5,0
