RunID,Step,X,Y,Status
1,1,-2.5,-0.15,crash
1,2,-2.4044779508817897,-0.11763868035246285,crash
1,3,-2.333272606133246,-0.03735246410728864,crash
1,4,-2.2189325879427555,-0.013545352020982587,crash
1,5,-2.1540707308375406,0.06592050189452822,crash
1,6,-2.1199049074486007,0.16173448223627404,crash
1,7,-2.1414101312854927,0.2595968460716559,crash
1,8,-2.2086308673771486,0.35360947872779275,crash
1,9,-2.300114190583193,0.43605453988350407,crash
1,10,-2.259505552316502,0.5370306605760186,crash
1,11,-2.2932976849735813,0.6472137719866654,crash
1,12,-2.2583004878444273,0.7421539678138044,crash
1,13,-2.242417072598074,0.8458242080546927,crash
1,14,-2.206007009282763,0.9394248284540784,crash
1,15,-2.104310773808969,0.9864884458835234,crash
1,16,-2.027972911050758,1.0533322315254448,crash
1,17,-2.0125563692903836,1.170698965259272,crash
1,18,-1.9011981621837084,1.215110322605229,crash
1,19,-1.8156062176846581,1.2673026061246304,crash
1,20,-1.715924759304237,1.2988298544690289,crash
1,21,-1.6158065495482579,1.3261724302446212,crash
1,22,-1.5358740563284063,1.4001872859466291,crash
1,23,-1.4303479736880493,1.4005096351133288,crash
1,24,-1.3407897216210936,1.4636988225956427,crash
1,25,-1.2521023746514908,1.5228925699934552,crash
1,26,-1.164136802927149,1.5887531597508096,crash
1,27,-1.0585979056403585,1.5681776625057595,crash
1,28,-0.9549516261362697,1.5501486657709678,crash
1,29,-0.8618082157301359,1.6013670592535993,crash
1,30,-0.772672630780626,1.6778293443545604,crash
1,31,-0.6714513106206592,1.668817419149721,crash
1,32,-0.5825747765522986,1.7236085310086944,crash
1,33,-0.4840007117457706,1.7696223718221782,crash
1,34,-0.38527413220715845,1.8465217341525157,crash
2,1,-2.5,-0.15,success
2,2,-2.4012109027232036,-0.1340632405827987,success
2,3,-2.300996651415327,-0.10527739547190706,success
2,4,-2.1863335813329283,-0.08099554192619335,success
2,5,-2.0927621665955924,-0.016099787936358995,success
2,6,-2.0326019252649346,0.07730206370625563,success
2,7,-2.0248427306938743,0.18020345235375268,success
2,8,-2.026749117093124,0.2895266479833315,success
2,9,-2.0401369863706305,0.38941599842561714,success
2,10,-2.015952173933325,0.4968312257307045,success
2,11,-2.0793084028802853,0.5838790039377375,success
2,12,-2.115819657492877,0.6779426085669001,success
2,13,-2.091689352955054,0.7783120229534796,success
2,14,-2.0517859950134465,0.8730315634237709,success
2,15,-2.0481983432632975,0.976534248121324,success
2,16,-2.0212325620221385,1.0730556537902811,success
2,17,-1.9848957911625682,1.1667888583677524,success
2,18,-1.9371920357476689,1.2554174914258713,success
2,19,-1.848526512302021,1.3026839370472025,success
2,20,-1.7532164939837822,1.3407983607345249,success
2,21,-1.6618741433497357,1.3821170961420597,success
2,22,-1.5667203630393522,1.4139400779669544,success
2,23,-1.4838358478578384,1.4734553865752016,success
2,24,-1.3751879975506909,1.4551911773442314,success
2,25,-1.2901343594070112,1.5248994826808833,success
2,26,-1.1706911361806753,1.482541475959466,success
2,27,-1.0774292826776388,1.5272007668573904,success
2,28,-0.9849294247225441,1.5951292952909906,success
2,29,-0.8832472879276494,1.593854206968159,success
2,30,-0.7744863374219595,1.5475580539884644,success
2,31,-0.6704292616531113,1.5095771023817264,success
2,32,-0.5693815642928226,1.5226157309534973,success
2,33,-0.47557291658588247,1.5805017739253173,success
2,34,-0.37650020245226196,1.5940944120012634,success
2,35,-0.28239408636194624,1.6623695560211766,success
2,36,-0.18249354671954054,1.67315946405799,success
2,37,-0.08263167421670638,1.643827824254575,success
2,38,0.02940155165378605,1.587088817879396,success
2,39,0.13326432761169232,1.6416200111012618,success
2,40,0.23840768351855454,1.6178652882498785,success
2,41,0.33909994509110486,1.6403423331505365,success
2,42,0.43648430785389436,1.6139236122683924,success
2,43,0.5178443804013064,1.5543486387619747,success
2,44,0.6192919108590345,1.5121886603598167,success
2,45,0.6322939587048826,1.3922984262362048,success
2,46,0.6465170040538266,1.2709878280963156,success
2,47,0.7216450450244775,1.2048313827145802,success
2,48,0.8297902837676856,1.2107489502500388,success
2,49,0.9312862156385123,1.2435397777163413,success
2,50,1.0331515842544245,1.2331962755911896,success
2,51,1.138212972383383,1.2064111817244436,success
2,52,1.2295793894591867,1.2714273732919588,success
3,1,-2.5,-0.15,success
3,2,-2.4073077737866884,-0.10341219990694236,success
3,3,-2.3242169751594095,-0.04564986874147445,success
3,4,-2.281108671939627,0.05223043570148675,success
3,5,-2.225798540958965,0.1365530875197141,success
3,6,-2.266528757742918,0.24238832589663845,success
3,7,-2.313750772229075,0.33510031202559204,success
3,8,-2.3045287647369133,0.4359603226037793,success
3,9,-2.273476171289121,0.5381017558572863,success
3,10,-2.2656458911708093,0.6378086896650239,success
3,11,-2.2596405452125388,0.7376523359893241,success
3,12,-2.253754288604326,0.8415074716363551,success
3,13,-2.212219364951182,0.9332657967724836,success
3,14,-2.1902726915693695,1.0439946914464129,success
3,15,-2.0834870583400216,1.088745210846857,success
3,16,-2.013942033708831,1.1629542168938,success
3,17,-1.9519342977018108,1.2459928012809511,success
3,18,-1.9320358495459133,1.3651606448069469,success
3,19,-1.8700614600801386,1.4560311087144917,success
3,20,-1.7874603553238964,1.529455662098502,success
3,21,-1.6961301835523799,1.577654509173306,success
3,22,-1.5959625254498988,1.644796000012271,success
3,23,-1.4959755489489266,1.5957323705373783,success
3,24,-1.3959150652086156,1.597837348875782,success
3,25,-1.3017630310968267,1.6546681615084944,success
3,26,-1.2071324727251271,1.7003265047860554,success
3,27,-1.1106270888986907,1.6482768834463266,success
3,28,-1.0061970621643506,1.5860809661620179,success
3,29,-0.8875418953511477,1.5379399207052513,success
3,30,-0.8123077987253579,1.6321897924546342,success
3,31,-0.7247986677323357,1.7137231273974114,success
3,32,-0.627938504704547,1.6605798324832466,success
3,33,-0.5285666926860735,1.6717711310579784,success
3,34,-0.4319691253187197,1.6302072756240968,success
3,35,-0.33784134062864946,1.6849050912778825,success
3,36,-0.2405266122280115,1.6369578744571183,success
3,37,-0.13467873152688384,1.5981289408349348,success
3,38,-0.034545589357238685,1.5956827435119976,success
3,39,0.0675911494425276,1.566488736560743,success
3,40,0.1804663099540395,1.5150041670251468,success
3,41,0.26347009655126497,1.5948781187233212,success
3,42,0.3451439751136684,1.6857107924171444,success
3,43,0.442818848081117,1.7073675775969013,success
3,44,0.5425915124964498,1.697475945499585,success
3,45,0.6445511373191768,1.6918332956834072,success
3,46,0.7446051159999253,1.718577729964494,success
3,47,0.8446766825191343,1.7262030139414222,success
3,48,0.9438647471361266,1.6862053505912666,success
3,49,1.043340576472452,1.6689773545473088,success
3,50,1.139568314297572,1.6297271096334058,success
3,51,1.1654896165732147,1.5148926637345934,success
3,52,1.2460565371945458,1.4534871813914167,success
4,1,-2.5,-0.15,crash
4,2,-2.4010339649351664,-0.13495276691224734,crash
4,3,-2.283388835181703,-0.13815854717573314,crash
4,4,-2.2387109353986996,-0.036247812469189275,crash
4,5,-2.1300049708173003,0.015677012826773355,crash
4,6,-2.031872540261972,0.09464069456557969,crash
4,7,-1.9572190172908681,0.19680523798372562,crash
4,8,-1.8995724717036613,0.3072208969260517,crash
4,9,-1.8783226800773392,0.40972356772774177,crash
4,10,-1.869468538981219,0.5144112168681274,crash
4,11,-1.8639100136953666,0.6178128247167559,crash
4,12,-1.8231621376958045,0.7330530500502372,crash
4,13,-1.9074887454899698,0.8290850448968115,crash
4,14,-1.9492996486951708,0.9274076922525791,crash
4,15,-1.9959310091807732,1.0269882791279341,crash
4,16,-1.934467989834114,1.111377792362045,crash
4,17,-1.8542126220249506,1.1825160350034247,crash
4,18,-1.8425638012173071,1.30280875606115,crash
4,19,-1.7512441209914837,1.3484251190195469,crash
4,20,-1.6620465187168063,1.3936361890200186,crash
4,21,-1.5936199120472425,1.485883988745356,crash
4,22,-1.501185548691821,1.527020068777037,crash
4,23,-1.405268586949037,1.5553195473688202,crash
4,24,-1.3011258581486904,1.5240500748177985,crash
4,25,-1.2042621480802285,1.5678456431524999,crash
4,26,-1.1041532385855595,1.5787246241233954,crash
4,27,-1.0004751812357224,1.5719305057433033,crash
4,28,-0.8872318745016827,1.516815951190534,crash
4,29,-0.7962638813920371,1.5781397851458658,crash
4,30,-0.6954960914671713,1.58354529032319,crash
4,31,-0.6013808987610835,1.6212313069337507,crash
4,32,-0.49998672091800844,1.6251436261249699,crash
4,33,-0.400846661669762,1.6049606352038828,crash
4,34,-0.30230073129473667,1.6244299968784313,crash
4,35,-0.22182352313846826,1.699466948214245,crash
4,36,-0.12345650090390238,1.6538793595989354,crash
4,37,-0.019973973509825604,1.6290263664118525,crash
4,38,0.0799669918498749,1.6240259738396263,crash
4,39,0.18140733461206013,1.5470687341927707,crash
4,40,0.2799846302167414,1.5638848829343663,crash
4,41,0.37630864654190077,1.5953648063149841,crash
4,42,0.4772199235755136,1.5895286723127344,crash
4,43,0.5653593781493256,1.6427182094272639,crash
4,44,0.6780379814976445,1.6202806429687069,crash
