x1,x2,Z_value
-1.0,-5.0,-1.0
-1.0,-4.9,-1.0
-1.0,-4.800000000000001,-1.0
-1.0,-4.699999999999999,-1.0
-1.0,-4.6,-1.0
-1.0,-4.5,-1.0
-1.0,-4.3999999999999995,-1.0
-1.0,-4.3,-1.0
-1.0,-4.2,-1.0
-1.0,-4.1,-1.0
-1.0,-4.0,-1.0
-1.0,-3.9000000000000004,-1.0
-1.0,-3.8000000000000003,-1.0
-1.0,-3.6999999999999997,-1.0
-1.0,-3.5999999999999996,-1.0
-1.0,-3.5,-1.0
-1.0,-3.4000000000000004,-1.0
-1.0,-3.2999999999999994,-1.0
-1.0,-3.2000000000000006,-1.0
-1.0,-3.1000000000000005,-1.0
-1.0,-3.0,-1.0
-1.0,-2.9000000000000004,-1.0
-1.0,-2.8000000000000003,-1.0
-1.0,-2.7,-1.0
-1.0,-2.5999999999999996,-1.0
-1.0,-2.5,-1.0
-1.0,-2.4000000000000004,-1.0
-1.0,-2.3,-1.0
-1.0,-2.1999999999999993,-1.0
-1.0,-2.0999999999999996,-1.0
-1.0,-2.0,-1.0
-1.0,-1.8999999999999997,-1.0
-1.0,-1.7999999999999994,-1.0
-1.0,-1.6999999999999995,-1.0
-1.0,-1.5999999999999996,-1.0
-1.0,-1.5,-1.0
-1.0,-1.4000000000000004,-1.0
-1.0,-1.2999999999999998,-1.0
-1.0,-1.2000000000000002,-1.0
-1.0,-1.0999999999999996,-1.0
-1.0,-1.0,-1.0
-1.0,-0.9000000000000004,-1.0
-1.0,-0.8000000000000003,-1.0
-1.0,-0.7000000000000006,-1.0
-1.0,-0.6000000000000001,-1.0
-1.0,-0.5,-1.0
-1.0,-0.3999999999999999,-1.0
-1.0,-0.3000000000000007,-1.0
-1.0,-0.20000000000000018,-1.0
-1.0,-0.09999999999999964,-1.0
-1.0,0.0,-1.0
-1.0,0.09999999999999964,-1.0
-1.0,0.20000000000000018,-1.0
-1.0,0.3000000000000007,-1.0
-1.0,0.40000000000000036,-1.0
-1.0,0.5,-1.0
-1.0,0.6000000000000005,-1.0
-1.0,0.6999999999999993,-1.0
-1.0,0.7999999999999998,-1.0
-1.0,0.8999999999999995,-1.0
-1.0,1.0,-1.0
-1.0,1.0999999999999996,-1.0
-1.0,1.2000000000000002,-1.0
-1.0,1.2999999999999998,-1.0
-1.0,1.4000000000000004,-1.0
-1.0,1.5,-1.0
-1.0,1.6000000000000005,-1.0
-1.0,1.7000000000000002,-1.0
-1.0,1.8000000000000007,-1.0
-1.0,1.8999999999999995,-1.0
-1.0,1.9999999999999998,-1.0
-1.0,2.0999999999999996,-1.0
-1.0,2.1999999999999993,-1.0
-1.0,2.3,-1.0
-1.0,2.4000000000000004,-1.0
-1.0,2.5,-1.0
-1.0,2.5999999999999996,-1.0
-1.0,2.7,-1.0
-1.0,2.8000000000000007,-1.0
-1.0,2.9000000000000004,-1.0
-1.0,3.0,-1.0
-1.0,3.100000000000001,-1.0
-1.0,3.1999999999999993,-1.0
-1.0,3.2999999999999994,-1.0
-1.0,3.4,-1.0
-1.0,3.5,-1.0
-1.0,3.5999999999999996,-1.0
-1.0,3.6999999999999997,-1.0
-1.0,3.8000000000000003,-1.0
-1.0,3.9000000000000004,-1.0
-1.0,4.0,-1.0
-1.0,4.1,-1.0
-1.0,4.200000000000001,-1.0
-1.0,4.300000000000001,-1.0
-1.0,4.399999999999999,-1.0
-1.0,4.5,-1.0
-1.0,4.6,-1.0
-1.0,4.699999999999999,-1.0
-1.0,4.800000000000001,-1.0
-1.0,4.9,-1.0
-1.0,5.0,-1.0
-0.8999999999999999,-5.0,-1.0
-0.8999999999999999,-4.9,-1.0
-0.8999999999999999,-4.800000000000001,-1.0
-0.8999999999999999,-4.699999999999999,-1.0
-0.8999999999999999,-4.6,-1.0
-0.8999999999999999,-4.5,-1.0
-0.8999999999999999,-4.3999999999999995,-1.0
-0.8999999999999999,-4.3,-1.0
-0.8999999999999999,-4.2,-1.0
-0.8999999999999999,-4.1,-1.0
-0.8999999999999999,-4.0,-1.0
-0.8999999999999999,-3.9000000000000004,-1.0
-0.8999999999999999,-3.8000000000000003,-1.0
-0.8999999999999999,-3.6999999999999997,-1.0
-0.8999999999999999,-3.5999999999999996,-1.0
-0.8999999999999999,-3.5,-1.0
-0.8999999999999999,-3.4000000000000004,-1.0
-0.8999999999999999,-3.2999999999999994,-1.0
-0.8999999999999999,-3.2000000000000006,-1.0
-0.8999999999999999,-3.1000000000000005,-1.0
-0.8999999999999999,-3.0,-1.0
-0.8999999999999999,-2.9000000000000004,-1.0
-0.8999999999999999,-2.8000000000000003,-1.0
-0.8999999999999999,-2.7,-1.0
-0.8999999999999999,-2.5999999999999996,-1.0
-0.8999999999999999,-2.5,-1.0
-0.8999999999999999,-2.4000000000000004,-1.0
-0.8999999999999999,-2.3,-1.0
-0.8999999999999999,-2.1999999999999993,-1.0
-0.8999999999999999,-2.0999999999999996,-1.0
-0.8999999999999999,-2.0,-1.0
-0.8999999999999999,-1.8999999999999997,-1.0
-0.8999999999999999,-1.7999999999999994,-1.0
-0.8999999999999999,-1.6999999999999995,-1.0
-0.8999999999999999,-1.5999999999999996,-1.0
-0.8999999999999999,-1.5,-1.0
-0.8999999999999999,-1.4000000000000004,-1.0
-0.8999999999999999,-1.2999999999999998,-1.0
-0.8999999999999999,-1.2000000000000002,-1.0
-0.8999999999999999,-1.0999999999999996,-1.0
-0.8999999999999999,-1.0,-1.0
-0.8999999999999999,-0.9000000000000004,-1.0
-0.8999999999999999,-0.8000000000000003,-1.0
-0.8999999999999999,-0.7000000000000006,-1.0
-0.8999999999999999,-0.6000000000000001,-1.0
-0.8999999999999999,-0.5,-1.0
-0.8999999999999999,-0.3999999999999999,-1.0
-0.8999999999999999,-0.3000000000000007,-1.0
-0.8999999999999999,-0.20000000000000018,-1.0
-0.8999999999999999,-0.09999999999999964,-1.0
-0.8999999999999999,0.0,-1.0
-0.8999999999999999,0.09999999999999964,-1.0
-0.8999999999999999,0.20000000000000018,-1.0
-0.8999999999999999,0.3000000000000007,-1.0
-0.8999999999999999,0.40000000000000036,-1.0
-0.8999999999999999,0.5,-1.0
-0.8999999999999999,0.6000000000000005,-1.0
-0.8999999999999999,0.6999999999999993,-1.0
-0.8999999999999999,0.7999999999999998,-1.0
-0.8999999999999999,0.8999999999999995,-1.0
-0.8999999999999999,1.0,-1.0
-0.8999999999999999,1.0999999999999996,-1.0
-0.8999999999999999,1.2000000000000002,-1.0
-0.8999999999999999,1.2999999999999998,-1.0
-0.8999999999999999,1.4000000000000004,-1.0
-0.8999999999999999,1.5,-1.0
-0.8999999999999999,1.6000000000000005,-1.0
-0.8999999999999999,1.7000000000000002,-1.0
-0.8999999999999999,1.8000000000000007,-1.0
-0.8999999999999999,1.8999999999999995,-1.0
-0.8999999999999999,1.9999999999999998,-1.0
-0.8999999999999999,2.0999999999999996,-1.0
-0.8999999999999999,2.1999999999999993,-1.0
-0.8999999999999999,2.3,-1.0
-0.8999999999999999,2.4000000000000004,-1.0
-0.8999999999999999,2.5,-1.0
-0.8999999999999999,2.5999999999999996,-1.0
-0.8999999999999999,2.7,-1.0
-0.8999999999999999,2.8000000000000007,-1.0
-0.8999999999999999,2.9000000000000004,-1.0
-0.8999999999999999,3.0,-1.0
-0.8999999999999999,3.100000000000001,-1.0
-0.8999999999999999,3.1999999999999993,-1.0
-0.8999999999999999,3.2999999999999994,-1.0
-0.8999999999999999,3.4,-1.0
-0.8999999999999999,3.5,-1.0
-0.8999999999999999,3.5999999999999996,-1.0
-0.8999999999999999,3.6999999999999997,-1.0
-0.8999999999999999,3.8000000000000003,-1.0
-0.8999999999999999,3.9000000000000004,-1.0
-0.8999999999999999,4.0,-1.0
-0.8999999999999999,4.1,-1.0
-0.8999999999999999,4.200000000000001,-1.0
-0.8999999999999999,4.300000000000001,-1.0
-0.8999999999999999,4.399999999999999,-1.0
-0.8999999999999999,4.5,-1.0
-0.8999999999999999,4.6,-1.0
-0.8999999999999999,4.699999999999999,-1.0
-0.8999999999999999,4.800000000000001,-1.0
-0.8999999999999999,4.9,-1.0
-0.8999999999999999,5.0,-1.0
-0.8,-5.0,-1.0
-0.8,-4.9,-1.0
-0.8,-4.800000000000001,-1.0
-0.8,-4.699999999999999,-1.0
-0.8,-4.6,-1.0
-0.8,-4.5,-1.0
-0.8,-4.3999999999999995,-1.0
-0.8,-4.3,-1.0
-0.8,-4.2,-1.0
