Lambda,OverApproximation_Percent,UnderApproximation_Percent
0.05,24.748273600555535,19.30481077118938
0.075,25.593148412484084,17.017090390031246
0.1,26.52289649319085,14.528760464488252
0.125,27.537517842675825,11.89768913236372
0.15,28.52513406118591,9.563674240962925
0.175,29.40472975579646,7.314532618340341
0.2,30.365340843331662,5.4048840708306
0.225,31.376104316963083,3.6341190540488406
0.25,32.13996373596697,1.9559430577524013
0.275,32.86910227228888,0.6751282743721306
0.3,33.690829829096096,0.0
